id_catalog_attribute_option_global_brick	name
1008	Temple
1009	Tennis Accessories
1010	Tennis Bags
1011	Tennis Balls
1012	Tennis Bands
1013	Tennis Grips
1014	Tennis Kits
1015	Tennis Nets
1016	Tennis Rackets
1017	Tennis Shoes
1018	Tennis Strings
1019	Tennis Tapes
1020	Tennis Vibration Dampeners
1021	Thermal Bottoms
1022	Thermal Sets
1023	Thermal Tops
1024	Thermals
1025	Thongs
1026	Three Seater Sofa
1027	Throwballs
1028	Tie Cufflink Combos
1029	Ties
1030	Tights
1031	Tissue Box
1032	Toaster
1033	Toasters
1034	Toe Ring
1035	Toner
1036	Tonic
1037	Toothpick Dispensar
1038	Tops
1039	Touchpens
1040	Towel Packs
1041	Towels
1042	Toy Box
1160	TRACK BOTTOMS
1043	Track Jackets
1044	Track Pants
1255	Track Suits
1045	Track Tops
1046	Trackpant
1047	Trackpants
1048	Tracksuit
1049	Tracksuits
1050	Tracktops
1051	Training Shoes
1052	Travel Adapter
1053	Travel Eyemask
1054	Travel Kit
1055	Travel Lock
1056	Travel Pillow
1057	Travel Strap
1058	Travelling Bag
1059	Tray
1060	Trimmer/Shaver
1061	Trivet
1062	Trivet + Coaster Set
1063	Trousers
1064	Trundle Bed
1065	Trunks
1189	Tulip
1067	Tumblers
1154	TUNIC SETS
1068	Tunics
1069	Tv & Handheld Games
1070	Tv Cabinet
1071	Tv Unit
1072	Twin Sets
1073	Two Seater Sofa
1074	Ubtan
1075	Umbrella
1076	Usb Gadgets
1077	Utility Gadgets
1078	V Neck Sweaters
1079	V Neck T-Shirts
1080	V Neck Vests
1089	V-Neck T Shirts
1081	Vaccuum Cleaners
1147	VALUE PACKS T-SHIRTS
1161	Value Packs Tops
1082	Vase
1083	Vehicle Play Sets
1084	Vehicle Playsets
1085	Vehicle Scale Models
1086	Vests
1087	Video Toys
1088	Visiting Card Holder
1090	Volleyball Accessories
1091	Volleyball Net
1092	Volleyball Pole Set
1093	Volleyball Set
1094	Volleyballs
1095	Waist Belt
1096	Waist Coats
1097	Waist Pouch
1261	Waistcoat
1098	Waistcoats
1099	Wall Art
1100	Wall Clock
1101	Wall Frame
1102	Wall Lights
1103	Wall Scone
1104	Wall Shelf
1105	Wall Shelves
1106	Wall Sticker
1107	Wall Unit
1108	Wallet
1109	Watch Box
1110	Watch Case
1111	Water Bottle
1112	Water Cane
1113	Water Fountain
1114	Water Jug
1115	Water Polo Balls
1116	Water Purifiers
1117	Waterproffing Spray
1118	Wax Shoe Polish
1119	Waxing
1120	Wayfarer
1121	Weapons & Tools
1122	Wedges
1123	Whistle
1124	Whitening & Fairness
1125	Whitening Lotion
1126	Wind Cheaters
1127	Wind Chime
1128	Windcheaters
1129	Wine Glass
1130	Wine Rack
1162	Winter Coats
1143	WINTER JACKETS
1201	Winter Kurtas
1131	Wired Headsets
1132	Wireless Keyboard
1133	Wireless Mouse
1134	Wrap Around
1135	Wrapping Papers
1136	Wristbands
1137	Yoga Mat
1138	Zablas
